Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Chickens,11169,livestock,10 wheeler Livestock Truck,12222
Chickens,2998,livestock,Medium Livestock Truck,3350
Goats,1226,livestock,Small Livestock Truck,2578
Frozen Fish,7393,perishable goods,Large Refrigerated Truck,9154
Meat,6525,perishable goods,Large Refrigerated Truck,8469
Rice,2784,crops,Elf Truck,4185
Fresh Vegetables,3,perishable goods,Small Refrigerated Van,1218
Frozen Fish,8553,perishable goods,Large Refrigerated Truck,10394
Goats,8053,livestock,10 wheeler Livestock Truck,9879
Leafy Greens,387,perishable goods,Small Refrigerated Van,2026
Chickens,6155,livestock,Large Livestock Truck,7706
Fruits,11741,crops,10 Wheeler Dump Truck,12166
Leafy Greens,3497,perishable goods,Medium Refrigerated Truck,4513
Chickens,4359,livestock,Large Livestock Truck,5851
Corn,1518,crops,Large Delivery Van,3067
Milk,6325,perishable goods,Large Refrigerated Truck,6498
Fresh Vegetables,2675,perishable goods,Small Refrigerated Truck,3659
Eggs,11184,perishable goods,10 wheeler Reefer Truck,12328
Goats,530,livestock,Small Livestock Truck,647
Corn,12188,crops,10 Wheeler Dump Truck,12656
Meat,5269,perishable goods,Large Refrigerated Truck,6498
Chickens,1838,livestock,Medium Livestock Truck,3695
Frozen Fish,4992,perishable goods,Medium Refrigerated Truck,6420
Corn,7731,crops,Dropside Truck,7970
Leafy Greens,3710,perishable goods,Medium Refrigerated Truck,4873
Corn,14290,crops,10 Wheeler Dump Truck,15751
Goats,5163,livestock,Large Livestock Truck,5910
Pigs,542,livestock,Small Livestock Truck,2271
Pigs,1855,livestock,Medium Livestock Truck,2731
Eggs,4495,perishable goods,Medium Refrigerated Truck,4703
Goats,2936,livestock,Medium Livestock Truck,3989
Milk,5349,perishable goods,Large Refrigerated Truck,5607
Corn,10045,crops,10 Wheeler Cargo Truck,10905
Frozen Fish,2131,perishable goods,Small Refrigerated Truck,3870
Pigs,7469,livestock,10 wheeler Livestock Truck,7673
Meat,9307,perishable goods,10 wheeler Reefer Truck,10834
Milk,5899,perishable goods,Large Refrigerated Truck,7712
Frozen Fish,5544,perishable goods,Large Refrigerated Truck,7431
Fresh Vegetables,5361,perishable goods,Large Refrigerated Truck,7216
Corn,7902,crops,Dropside Truck,9491
Cows,7015,livestock,10 wheeler Livestock Truck,8140
Fruits,14531,crops,10 Wheeler Dump Truck,15042
Goats,8154,livestock,10 wheeler Livestock Truck,9969
Goats,10455,livestock,10 wheeler Livestock Truck,12203
Corn,12890,crops,10 Wheeler Dump Truck,13151
Fresh Vegetables,7840,perishable goods,Large Refrigerated Truck,8653
Leafy Greens,5991,perishable goods,Large Refrigerated Truck,6447
Fresh Vegetables,10466,perishable goods,10 wheeler Reefer Truck,11215
Leafy Greens,10996,perishable goods,10 wheeler Reefer Truck,11204
Leafy Greens,8125,perishable goods,Large Refrigerated Truck,9570
Chickens,754,livestock,Small Livestock Truck,2326
Leafy Greens,2847,perishable goods,Small Refrigerated Truck,4507
Rice,5885,crops,Dropside Truck,6186
Fruits,5998,crops,Dropside Truck,7757
Leafy Greens,11444,perishable goods,10 wheeler Reefer Truck,12536
Milk,3058,perishable goods,Medium Refrigerated Truck,3881
Frozen Fish,1629,perishable goods,Small Refrigerated Truck,3077
Fresh Vegetables,10761,perishable goods,10 wheeler Reefer Truck,11204
Goats,676,livestock,Small Livestock Truck,1649
Milk,10185,perishable goods,10 wheeler Reefer Truck,11368
Eggs,7998,perishable goods,Large Refrigerated Truck,8720
Meat,5903,perishable goods,Large Refrigerated Truck,7790
Goats,4219,livestock,Large Livestock Truck,4356
Vegetables,1999,crops,Large Pickup Truck,2712
Cows,3611,livestock,Large Livestock Truck,5451
Meat,10110,perishable goods,10 wheeler Reefer Truck,10722
Rice,12521,crops,10 Wheeler Dump Truck,13938
Milk,8713,perishable goods,Large Refrigerated Truck,8837
Chickens,2951,livestock,Medium Livestock Truck,3215
Meat,2736,perishable goods,Small Refrigerated Truck,4652
Pigs,6073,livestock,Large Livestock Truck,7040
Corn,9739,crops,10 Wheeler Cargo Truck,11286
Leafy Greens,9629,perishable goods,10 wheeler Reefer Truck,10200
Milk,2744,perishable goods,Small Refrigerated Truck,3895
Rice,10201,crops,10 Wheeler Cargo Truck,11345
Fruits,698,crops,Small Delivery Van,825
Goats,5278,livestock,Large Livestock Truck,7064
Frozen Fish,2644,perishable goods,Small Refrigerated Truck,2948
Vegetables,14616,crops,10 Wheeler Dump Truck,14971
Frozen Fish,1009,perishable goods,Medium Refrigerated Van,1726
Corn,5274,crops,Dropside Truck,5917
Chickens,10594,livestock,10 wheeler Livestock Truck,11372
Corn,4071,crops,Heavy Duty Pickup Truck,4318
Fresh Vegetables,3735,perishable goods,Medium Refrigerated Truck,4109
Pigs,10350,livestock,10 wheeler Livestock Truck,11555
Corn,5571,crops,Dropside Truck,7232
Rice,4358,crops,Heavy Duty Pickup Truck,5546
Vegetables,4459,crops,Dropside Truck,5286
Leafy Greens,7189,perishable goods,Large Refrigerated Truck,9112
Corn,7212,crops,Dropside Truck,8461
Leafy Greens,6193,perishable goods,Large Refrigerated Truck,7982
Frozen Fish,9112,perishable goods,10 wheeler Reefer Truck,10344
Milk,6564,perishable goods,Large Refrigerated Truck,7592
Corn,12686,crops,10 Wheeler Dump Truck,14653
Meat,4648,perishable goods,Medium Refrigerated Truck,5410
Rice,9257,crops,10 Wheeler Cargo Truck,9684
Pigs,431,livestock,Small Livestock Truck,1783
Chickens,8259,livestock,10 wheeler Livestock Truck,9570
Eggs,164,perishable goods,Small Refrigerated Van,624
Pigs,1060,livestock,Small Livestock Truck,2526
Goats,1436,livestock,Small Livestock Truck,3249
Pigs,6487,livestock,Large Livestock Truck,7154
Rice,7950,crops,Dropside Truck,9512
Meat,10758,perishable goods,10 wheeler Reefer Truck,12713
Cows,5569,livestock,Large Livestock Truck,5763
Milk,3370,perishable goods,Medium Refrigerated Truck,3571
Cows,11610,livestock,10 wheeler Livestock Truck,12889
Rice,8132,crops,10 Wheeler Cargo Truck,9346
Cows,6770,livestock,Large Livestock Truck,8703
Eggs,9036,perishable goods,10 wheeler Reefer Truck,9861
Pigs,1969,livestock,Medium Livestock Truck,3598
Milk,9929,perishable goods,10 wheeler Reefer Truck,11362
Leafy Greens,11063,perishable goods,10 wheeler Reefer Truck,12997
Chickens,4082,livestock,Large Livestock Truck,4885
Leafy Greens,11845,perishable goods,10 wheeler Reefer Truck,13189
Cows,3908,livestock,Large Livestock Truck,4292
Goats,5256,livestock,Large Livestock Truck,7120
Chickens,6261,livestock,Large Livestock Truck,7146
Eggs,2836,perishable goods,Small Refrigerated Truck,3981
Frozen Fish,9571,perishable goods,10 wheeler Reefer Truck,11280
Chickens,4103,livestock,Large Livestock Truck,6010
Leafy Greens,10699,perishable goods,10 wheeler Reefer Truck,11589
Fruits,14418,crops,10 Wheeler Dump Truck,14660
Fresh Vegetables,2927,perishable goods,Small Refrigerated Truck,3082
Goats,6612,livestock,Large Livestock Truck,8393
Fruits,10078,crops,10 Wheeler Cargo Truck,10767
Vegetables,7202,crops,Dropside Truck,8275
Meat,6673,perishable goods,Large Refrigerated Truck,8535
Cows,6236,livestock,Large Livestock Truck,6452
Fresh Vegetables,277,perishable goods,Small Refrigerated Van,2156
Corn,3430,crops,Elf Truck,4887
Cows,5669,livestock,Large Livestock Truck,7066
Leafy Greens,10145,perishable goods,10 wheeler Reefer Truck,11236
Fruits,11880,crops,10 Wheeler Cargo Truck,13752
Eggs,2123,perishable goods,Small Refrigerated Truck,2438
Fruits,10989,crops,10 Wheeler Cargo Truck,11755
Pigs,3043,livestock,Large Livestock Truck,4281
Pigs,249,livestock,Small Livestock Truck,2015
Fruits,3473,crops,Elf Truck,4715
Rice,13840,crops,10 Wheeler Dump Truck,14013
Milk,5428,perishable goods,Large Refrigerated Truck,6628
Vegetables,13918,crops,10 Wheeler Dump Truck,15052
Meat,2130,perishable goods,Small Refrigerated Truck,2698
Milk,11712,perishable goods,10 wheeler Reefer Truck,13552
Milk,6372,perishable goods,Large Refrigerated Truck,6809
Goats,1605,livestock,Medium Livestock Truck,1930
Leafy Greens,10276,perishable goods,10 wheeler Reefer Truck,10674
Frozen Fish,10001,perishable goods,10 wheeler Reefer Truck,11004
Meat,6343,perishable goods,Large Refrigerated Truck,6574
Fresh Vegetables,1403,perishable goods,Large Refrigerated Van,2161
Goats,11957,livestock,10 wheeler Livestock Truck,12621
Milk,3151,perishable goods,Medium Refrigerated Truck,3559
Goats,9489,livestock,10 wheeler Livestock Truck,10152
Leafy Greens,6573,perishable goods,Large Refrigerated Truck,6985
Cows,6069,livestock,Large Livestock Truck,7279
Leafy Greens,391,perishable goods,Small Refrigerated Van,726
Meat,9234,perishable goods,10 wheeler Reefer Truck,10192
Milk,8484,perishable goods,Large Refrigerated Truck,10264
Cows,5037,livestock,Large Livestock Truck,6134
Chickens,10151,livestock,10 wheeler Livestock Truck,10464
Pigs,9786,livestock,10 wheeler Livestock Truck,11115
Pigs,3634,livestock,Large Livestock Truck,5337
Eggs,1585,perishable goods,Small Refrigerated Truck,2655
Vegetables,10934,crops,10 Wheeler Cargo Truck,11656
Cows,9430,livestock,10 wheeler Livestock Truck,10644
Eggs,2878,perishable goods,Small Refrigerated Truck,4363
Cows,8713,livestock,10 wheeler Livestock Truck,9083
Chickens,248,livestock,Small Livestock Truck,963
Meat,1837,perishable goods,Small Refrigerated Truck,2692
Cows,11871,livestock,10 wheeler Livestock Truck,13628
Cows,5973,livestock,Large Livestock Truck,6434
Vegetables,841,crops,Small Delivery Van,957
Chickens,2644,livestock,Medium Livestock Truck,3864
Vegetables,7808,crops,Dropside Truck,8525
Rice,3691,crops,Heavy Duty Pickup Truck,4553
Fruits,3136,crops,Elf Truck,4910
Goats,3138,livestock,Large Livestock Truck,4453
Fresh Vegetables,4693,perishable goods,Medium Refrigerated Truck,6040
Cows,5078,livestock,Large Livestock Truck,5506
Rice,2671,crops,Large Pickup Truck,3762
Fresh Vegetables,7301,perishable goods,Large Refrigerated Truck,7743
Frozen Fish,8316,perishable goods,Large Refrigerated Truck,9030
Pigs,6651,livestock,Large Livestock Truck,8419
Frozen Fish,7821,perishable goods,Large Refrigerated Truck,9318
Goats,8585,livestock,10 wheeler Livestock Truck,10145
Frozen Fish,1438,perishable goods,Large Refrigerated Van,2188
Milk,9602,perishable goods,10 wheeler Reefer Truck,11061
Meat,10764,perishable goods,10 wheeler Reefer Truck,12275
Goats,1586,livestock,Medium Livestock Truck,2813
Chickens,5599,livestock,Large Livestock Truck,7028
Vegetables,10413,crops,10 Wheeler Cargo Truck,10842
Frozen Fish,381,perishable goods,Small Refrigerated Van,1376
Frozen Fish,3170,perishable goods,Medium Refrigerated Truck,4817
Rice,11610,crops,10 Wheeler Cargo Truck,13096
Fruits,4763,crops,Dropside Truck,5713
Frozen Fish,7635,perishable goods,Large Refrigerated Truck,8696
Pigs,2618,livestock,Medium Livestock Truck,4137
Goats,2690,livestock,Medium Livestock Truck,4588
Rice,14465,crops,10 Wheeler Dump Truck,15198
Goats,10368,livestock,10 wheeler Livestock Truck,11891
Fruits,8147,crops,10 Wheeler Cargo Truck,9631
Goats,4972,livestock,Large Livestock Truck,5667
Goats,10326,livestock,10 wheeler Livestock Truck,11008
Frozen Fish,8085,perishable goods,Large Refrigerated Truck,8499
Corn,8095,crops,10 Wheeler Cargo Truck,8667
Goats,9464,livestock,10 wheeler Livestock Truck,11410
Milk,9334,perishable goods,10 wheeler Reefer Truck,10875
Pigs,1745,livestock,Medium Livestock Truck,3670
Vegetables,4120,crops,Heavy Duty Pickup Truck,5345
Leafy Greens,4,perishable goods,Small Refrigerated Van,1679
Frozen Fish,5957,perishable goods,Large Refrigerated Truck,7849
Frozen Fish,1087,perishable goods,Medium Refrigerated Van,1545
Fresh Vegetables,3483,perishable goods,Medium Refrigerated Truck,4223
Fruits,4341,crops,Heavy Duty Pickup Truck,4745
Rice,125,crops,Tricycle,1024
Corn,251,crops,Tricycle,358
Cows,5956,livestock,Large Livestock Truck,7116
Goats,10563,livestock,10 wheeler Livestock Truck,12198
Eggs,2421,perishable goods,Small Refrigerated Truck,2851
Pigs,5851,livestock,Large Livestock Truck,6909
Frozen Fish,10168,perishable goods,10 wheeler Reefer Truck,12022
Rice,1738,crops,Elf Truck,2037
Eggs,10798,perishable goods,10 wheeler Reefer Truck,11856
Goats,653,livestock,Small Livestock Truck,1641
Goats,4274,livestock,Large Livestock Truck,5429
Meat,8909,perishable goods,Large Refrigerated Truck,10704
Leafy Greens,5962,perishable goods,Large Refrigerated Truck,7512
Vegetables,6133,crops,Dropside Truck,7282
Leafy Greens,608,perishable goods,Small Refrigerated Van,1849
Pigs,8007,livestock,10 wheeler Livestock Truck,8463
Meat,7981,perishable goods,Large Refrigerated Truck,8812
Pigs,2606,livestock,Medium Livestock Truck,3859
Fruits,6209,crops,Dropside Truck,6748
Pigs,5483,livestock,Large Livestock Truck,6036
Frozen Fish,9255,perishable goods,10 wheeler Reefer Truck,10522
Rice,8596,crops,Dropside Truck,9310
Pigs,4728,livestock,Large Livestock Truck,5610
Goats,1602,livestock,Medium Livestock Truck,2262
Cows,5405,livestock,Large Livestock Truck,6907
Eggs,2866,perishable goods,Small Refrigerated Truck,4237
Leafy Greens,10016,perishable goods,10 wheeler Reefer Truck,10599
Pigs,3170,livestock,Large Livestock Truck,4147
Goats,4520,livestock,Large Livestock Truck,6308
Meat,716,perishable goods,Small Refrigerated Van,2115
Goats,6569,livestock,Large Livestock Truck,8158
Meat,2127,perishable goods,Small Refrigerated Truck,2459
Pigs,32,livestock,Small Livestock Truck,1713
Rice,9139,crops,10 Wheeler Cargo Truck,9914
Chickens,8481,livestock,10 wheeler Livestock Truck,10268
Milk,11126,perishable goods,10 wheeler Reefer Truck,12038
Pigs,1324,livestock,Small Livestock Truck,3035
Milk,11226,perishable goods,10 wheeler Reefer Truck,12132
Fruits,9505,crops,10 Wheeler Cargo Truck,10660
Chickens,10761,livestock,10 wheeler Livestock Truck,11696
Leafy Greens,10838,perishable goods,10 wheeler Reefer Truck,11845
Rice,6974,crops,Dropside Truck,8931
Corn,10932,crops,10 Wheeler Cargo Truck,12476
Milk,4669,perishable goods,Medium Refrigerated Truck,5974
Fresh Vegetables,10907,perishable goods,10 wheeler Reefer Truck,11889
Eggs,7737,perishable goods,Large Refrigerated Truck,7998
Pigs,4360,livestock,Large Livestock Truck,5405
Cows,5803,livestock,Large Livestock Truck,6232
Meat,4746,perishable goods,Medium Refrigerated Truck,4862
Vegetables,10629,crops,10 Wheeler Cargo Truck,11907
Pigs,9391,livestock,10 wheeler Livestock Truck,10602
Vegetables,8645,crops,10 Wheeler Cargo Truck,9553
Corn,8224,crops,Dropside Truck,9865
Meat,4478,perishable goods,Medium Refrigerated Truck,5079
Corn,8647,crops,10 Wheeler Cargo Truck,10146
Cows,2026,livestock,Medium Livestock Truck,3460
Rice,6166,crops,Dropside Truck,6372
Milk,5574,perishable goods,Large Refrigerated Truck,5874
Eggs,5689,perishable goods,Large Refrigerated Truck,6557
Vegetables,2416,crops,Large Pickup Truck,3427
Corn,7207,crops,Dropside Truck,7308
Milk,49,perishable goods,Small Refrigerated Van,1561
Rice,12371,crops,10 Wheeler Dump Truck,13797
Corn,8303,crops,10 Wheeler Cargo Truck,9510
Chickens,10850,livestock,10 wheeler Livestock Truck,12127
Corn,10277,crops,10 Wheeler Cargo Truck,11859
Frozen Fish,11212,perishable goods,10 wheeler Reefer Truck,11399
Cows,1716,livestock,Medium Livestock Truck,2671
Corn,13252,crops,10 Wheeler Dump Truck,13624
Eggs,4791,perishable goods,Medium Refrigerated Truck,5145
Vegetables,3054,crops,Elf Truck,3451
Goats,7267,livestock,10 wheeler Livestock Truck,8607
Vegetables,12519,crops,10 Wheeler Dump Truck,14001
Cows,5042,livestock,Large Livestock Truck,7020
Fresh Vegetables,3652,perishable goods,Medium Refrigerated Truck,4379
Vegetables,2800,crops,Elf Truck,3535
Fresh Vegetables,7942,perishable goods,Large Refrigerated Truck,9439
Goats,5985,livestock,Large Livestock Truck,7345
Fruits,7501,crops,Dropside Truck,7995
Fruits,13388,crops,10 Wheeler Dump Truck,14801
Fresh Vegetables,7657,perishable goods,Large Refrigerated Truck,8003
Cows,10053,livestock,10 wheeler Livestock Truck,10925
Fruits,8906,crops,10 Wheeler Cargo Truck,10581
Eggs,1351,perishable goods,Large Refrigerated Van,1723
Fruits,13513,crops,10 Wheeler Dump Truck,14008
Leafy Greens,7949,perishable goods,Large Refrigerated Truck,8413
Fresh Vegetables,3438,perishable goods,Medium Refrigerated Truck,4162
Pigs,6981,livestock,Large Livestock Truck,7622
Pigs,10394,livestock,10 wheeler Livestock Truck,11565
Fresh Vegetables,4096,perishable goods,Medium Refrigerated Truck,5224
Corn,7514,crops,Dropside Truck,8987
Rice,9187,crops,10 Wheeler Cargo Truck,10234
Eggs,1101,perishable goods,Medium Refrigerated Van,1731
Rice,413,crops,Small Multicab,1502
Milk,11850,perishable goods,10 wheeler Reefer Truck,12364
Pigs,4525,livestock,Large Livestock Truck,4626
Vegetables,7689,crops,Dropside Truck,9240
Chickens,9402,livestock,10 wheeler Livestock Truck,10111
Rice,10325,crops,10 Wheeler Cargo Truck,11226
Vegetables,2766,crops,Elf Truck,3220
Frozen Fish,6587,perishable goods,Large Refrigerated Truck,7919
Frozen Fish,9228,perishable goods,10 wheeler Reefer Truck,9855
Vegetables,487,crops,Small Multicab,2002
Cows,7333,livestock,10 wheeler Livestock Truck,9303
Frozen Fish,4103,perishable goods,Medium Refrigerated Truck,4943
Chickens,2185,livestock,Medium Livestock Truck,3096
Goats,10293,livestock,10 wheeler Livestock Truck,11731
Meat,11306,perishable goods,10 wheeler Reefer Truck,13284
Corn,4597,crops,Dropside Truck,4740
Frozen Fish,7172,perishable goods,Large Refrigerated Truck,8111
Pigs,10527,livestock,10 wheeler Livestock Truck,11269
Milk,10822,perishable goods,10 wheeler Reefer Truck,10937
Fresh Vegetables,11258,perishable goods,10 wheeler Reefer Truck,12239
Chickens,2271,livestock,Medium Livestock Truck,3363
Fruits,2402,crops,Elf Truck,3262
Meat,266,perishable goods,Small Refrigerated Van,1708
Leafy Greens,8347,perishable goods,Large Refrigerated Truck,8973
Fruits,13289,crops,10 Wheeler Dump Truck,13953
Goats,7280,livestock,10 wheeler Livestock Truck,7676
Meat,11391,perishable goods,10 wheeler Reefer Truck,13300
Goats,11513,livestock,10 wheeler Livestock Truck,12146
Milk,3394,perishable goods,Medium Refrigerated Truck,4738
Frozen Fish,244,perishable goods,Small Refrigerated Van,672
Meat,9843,perishable goods,10 wheeler Reefer Truck,10973
Cows,5367,livestock,Large Livestock Truck,5554
Rice,6286,crops,Dropside Truck,7989
Meat,4097,perishable goods,Medium Refrigerated Truck,4597
Meat,6701,perishable goods,Large Refrigerated Truck,6823
Frozen Fish,9540,perishable goods,10 wheeler Reefer Truck,10849
Corn,3118,crops,Elf Truck,4786
Fruits,21,crops,Motorcyle with Box,876
Leafy Greens,11513,perishable goods,10 wheeler Reefer Truck,12449
Fresh Vegetables,529,perishable goods,Small Refrigerated Van,1791
Chickens,11403,livestock,10 wheeler Livestock Truck,13000
Vegetables,5543,crops,Dropside Truck,7242
Rice,9792,crops,10 Wheeler Cargo Truck,10813
Frozen Fish,9522,perishable goods,10 wheeler Reefer Truck,10454
Leafy Greens,10723,perishable goods,10 wheeler Reefer Truck,11263
Milk,4972,perishable goods,Medium Refrigerated Truck,5557
Vegetables,5750,crops,Dropside Truck,5999
Frozen Fish,1743,perishable goods,Small Refrigerated Truck,2108
Vegetables,13533,crops,10 Wheeler Dump Truck,15365
Frozen Fish,11022,perishable goods,10 wheeler Reefer Truck,12144
Vegetables,2733,crops,Elf Truck,3836
Eggs,5633,perishable goods,Large Refrigerated Truck,7414
Pigs,2622,livestock,Medium Livestock Truck,4593
Milk,815,perishable goods,Medium Refrigerated Van,997
Goats,11822,livestock,10 wheeler Livestock Truck,13192
Eggs,6642,perishable goods,Large Refrigerated Truck,7993
Fruits,501,crops,Small Delivery Van,1578
Pigs,5492,livestock,Large Livestock Truck,6725
Vegetables,10826,crops,10 Wheeler Cargo Truck,11600
Corn,11344,crops,10 Wheeler Cargo Truck,12634
Frozen Fish,1298,perishable goods,Large Refrigerated Van,1400
Cows,11360,livestock,10 wheeler Livestock Truck,12056
Goats,5211,livestock,Large Livestock Truck,6236
Frozen Fish,209,perishable goods,Small Refrigerated Van,732
Frozen Fish,8727,perishable goods,Large Refrigerated Truck,9669
Frozen Fish,5628,perishable goods,Large Refrigerated Truck,6928
Pigs,5323,livestock,Large Livestock Truck,6190
Eggs,7672,perishable goods,Large Refrigerated Truck,9404
Fresh Vegetables,2654,perishable goods,Small Refrigerated Truck,3211
Leafy Greens,6976,perishable goods,Large Refrigerated Truck,8687
Rice,7221,crops,Dropside Truck,7587
Goats,1932,livestock,Medium Livestock Truck,3124
Meat,984,perishable goods,Medium Refrigerated Van,2956
Goats,7582,livestock,10 wheeler Livestock Truck,8129
Fruits,4408,crops,Heavy Duty Pickup Truck,5903
Frozen Fish,11372,perishable goods,10 wheeler Reefer Truck,11573
Vegetables,11604,crops,10 Wheeler Dump Truck,11720
Pigs,3801,livestock,Large Livestock Truck,5362
Goats,25,livestock,Small Livestock Truck,428
Corn,10524,crops,10 Wheeler Cargo Truck,11209
Leafy Greens,11446,perishable goods,10 wheeler Reefer Truck,12602
Chickens,953,livestock,Small Livestock Truck,2290
Leafy Greens,5825,perishable goods,Large Refrigerated Truck,6767
Fruits,5491,crops,Dropside Truck,6337
Frozen Fish,4912,perishable goods,Medium Refrigerated Truck,6153
Eggs,9387,perishable goods,10 wheeler Reefer Truck,10769
Rice,3815,crops,Heavy Duty Pickup Truck,5248
Corn,135,crops,Tricycle,1948
Rice,951,crops,Large Multicab,1805
Leafy Greens,4632,perishable goods,Medium Refrigerated Truck,5890
Rice,602,crops,Small Multicab,2551
Cows,10787,livestock,10 wheeler Livestock Truck,11718
Vegetables,8195,crops,10 Wheeler Cargo Truck,9492
Pigs,2841,livestock,Medium Livestock Truck,4530
Rice,6346,crops,Dropside Truck,6664
Chickens,7123,livestock,10 wheeler Livestock Truck,9108
Frozen Fish,11121,perishable goods,10 wheeler Reefer Truck,12397
Pigs,8938,livestock,10 wheeler Livestock Truck,10096
Fruits,12618,crops,10 Wheeler Dump Truck,13226
Rice,13100,crops,10 Wheeler Dump Truck,13973
Chickens,6267,livestock,Large Livestock Truck,7800
Rice,13039,crops,10 Wheeler Dump Truck,14201
Rice,9276,crops,10 Wheeler Cargo Truck,9999
Cows,73,livestock,Small Livestock Truck,1701
Chickens,2052,livestock,Medium Livestock Truck,3603
Vegetables,12484,crops,10 Wheeler Dump Truck,14002
Chickens,9206,livestock,10 wheeler Livestock Truck,10162
Vegetables,6116,crops,Dropside Truck,6449
Corn,12046,crops,10 Wheeler Dump Truck,12959
Fruits,6494,crops,Dropside Truck,6954
Leafy Greens,11988,perishable goods,10 wheeler Reefer Truck,12189
Frozen Fish,4929,perishable goods,Medium Refrigerated Truck,5362
Fresh Vegetables,5818,perishable goods,Large Refrigerated Truck,6493
Corn,11338,crops,10 Wheeler Cargo Truck,11596
Pigs,7575,livestock,10 wheeler Livestock Truck,9292
Cows,7856,livestock,10 wheeler Livestock Truck,8257
Goats,2236,livestock,Medium Livestock Truck,4043
Milk,10158,perishable goods,10 wheeler Reefer Truck,10822
Fresh Vegetables,9695,perishable goods,10 wheeler Reefer Truck,10225
Leafy Greens,1276,perishable goods,Large Refrigerated Van,1884
Eggs,824,perishable goods,Medium Refrigerated Van,1007
Fresh Vegetables,11852,perishable goods,10 wheeler Reefer Truck,13281
Eggs,7785,perishable goods,Large Refrigerated Truck,7990
Vegetables,14002,crops,10 Wheeler Dump Truck,14834
Meat,4406,perishable goods,Medium Refrigerated Truck,5939
Chickens,5464,livestock,Large Livestock Truck,7319
Vegetables,864,crops,Small Pickup Truck,1612
Frozen Fish,2256,perishable goods,Small Refrigerated Truck,3462
Fruits,9237,crops,10 Wheeler Cargo Truck,10836
Cows,8919,livestock,10 wheeler Livestock Truck,10511
Fruits,13954,crops,10 Wheeler Dump Truck,15054
Vegetables,10725,crops,10 Wheeler Cargo Truck,12166
Rice,10503,crops,10 Wheeler Cargo Truck,11194
Corn,6194,crops,Dropside Truck,6444
Pigs,2814,livestock,Medium Livestock Truck,3418
Leafy Greens,5795,perishable goods,Large Refrigerated Truck,6839
Frozen Fish,1460,perishable goods,Large Refrigerated Van,2824
Corn,6190,crops,Dropside Truck,6984
Fresh Vegetables,9538,perishable goods,10 wheeler Reefer Truck,10719
Chickens,4198,livestock,Large Livestock Truck,5983
Leafy Greens,11296,perishable goods,10 wheeler Reefer Truck,11857
Corn,7363,crops,Dropside Truck,8722
Corn,3437,crops,Elf Truck,4697
Vegetables,9004,crops,10 Wheeler Cargo Truck,10641
Pigs,1017,livestock,Small Livestock Truck,2401
Frozen Fish,11973,perishable goods,10 wheeler Reefer Truck,13471
Fruits,4886,crops,Dropside Truck,5752
Vegetables,4195,crops,Heavy Duty Pickup Truck,5905
Corn,8574,crops,Dropside Truck,9598
Eggs,10525,perishable goods,10 wheeler Reefer Truck,10678
Meat,9263,perishable goods,10 wheeler Reefer Truck,10683
Corn,10680,crops,10 Wheeler Cargo Truck,11910
Frozen Fish,3528,perishable goods,Medium Refrigerated Truck,5146
Pigs,937,livestock,Small Livestock Truck,2915
Goats,3962,livestock,Large Livestock Truck,5296
Fruits,9506,crops,10 Wheeler Cargo Truck,9893
Goats,9941,livestock,10 wheeler Livestock Truck,10756
Leafy Greens,11230,perishable goods,10 wheeler Reefer Truck,11910
Leafy Greens,391,perishable goods,Small Refrigerated Van,2032
Fresh Vegetables,4472,perishable goods,Medium Refrigerated Truck,5092
Chickens,11392,livestock,10 wheeler Livestock Truck,11893
Cows,2439,livestock,Medium Livestock Truck,3179
Frozen Fish,4470,perishable goods,Medium Refrigerated Truck,4838
Chickens,892,livestock,Small Livestock Truck,1193
Frozen Fish,9174,perishable goods,10 wheeler Reefer Truck,9321
Corn,8013,crops,10 Wheeler Cargo Truck,8137
Goats,3673,livestock,Large Livestock Truck,4437
Frozen Fish,4366,perishable goods,Medium Refrigerated Truck,6271
Rice,2535,crops,Elf Truck,3112
Pigs,11388,livestock,10 wheeler Livestock Truck,11681
Goats,7407,livestock,10 wheeler Livestock Truck,8183
Meat,7634,perishable goods,Large Refrigerated Truck,9464
Leafy Greens,11967,perishable goods,10 wheeler Reefer Truck,13268
Pigs,8734,livestock,10 wheeler Livestock Truck,10222
Cows,2614,livestock,Medium Livestock Truck,4008
Leafy Greens,1462,perishable goods,Large Refrigerated Van,1982
Pigs,4588,livestock,Large Livestock Truck,6581
Corn,10957,crops,10 Wheeler Cargo Truck,11766
Leafy Greens,732,perishable goods,Small Refrigerated Van,1521
Cows,6853,livestock,Large Livestock Truck,7434
Fruits,2561,crops,Elf Truck,3984
Milk,5684,perishable goods,Large Refrigerated Truck,6279
Eggs,11810,perishable goods,10 wheeler Reefer Truck,12164
Milk,1985,perishable goods,Small Refrigerated Truck,2360
Goats,3494,livestock,Large Livestock Truck,3629
Eggs,7902,perishable goods,Large Refrigerated Truck,8819
Goats,6456,livestock,Large Livestock Truck,8054
Frozen Fish,1107,perishable goods,Medium Refrigerated Van,2076
Chickens,9696,livestock,10 wheeler Livestock Truck,11013
Eggs,7994,perishable goods,Large Refrigerated Truck,8366
Corn,11575,crops,10 Wheeler Dump Truck,13020
Goats,5544,livestock,Large Livestock Truck,5655
Rice,9064,crops,10 Wheeler Cargo Truck,10517
Meat,4569,perishable goods,Medium Refrigerated Truck,5319
