Product Type,Product Weight (kg),Purpose,Vehicle Type
Chickens,11511,livestock,10 wheeler Livestock Truck
Vegetables,4970,crops,Dropside Truck
Fruits,8460,crops,10 Wheeler Cargo Truck
Vegetables,8610,crops,Dropside Truck
Chickens,8301,livestock,10 wheeler Livestock Truck
Goats,1771,livestock,Medium Livestock Truck
Vegetables,2600,crops,Elf Truck
Milk,1461,perishable goods,Large Refrigerated Van
Rice,12760,crops,10 Wheeler Dump Truck
Eggs,611,perishable goods,Small Refrigerated Van
Chickens,241,livestock,Small Livestock Truck
Rice,5690,crops,Dropside Truck
Corn,14090,crops,10 Wheeler Dump Truck
Vegetables,11360,crops,10 Wheeler Dump Truck
Fresh Vegetables,11591,perishable goods,10 wheeler Reefer Truck
Vegetables,11040,crops,10 Wheeler Dump Truck
Rice,13520,crops,10 Wheeler Dump Truck
Pigs,4561,livestock,Large Livestock Truck
Rice,12150,crops,10 Wheeler Dump Truck
Vegetables,11490,crops,10 Wheeler Cargo Truck
Rice,9730,crops,10 Wheeler Cargo Truck
Fruits,1690,crops,Elf Truck
Vegetables,1180,crops,Medium Pickup Truck
Rice,11430,crops,10 Wheeler Dump Truck
Chickens,6721,livestock,Large Livestock Truck
Fruits,11620,crops,10 Wheeler Cargo Truck
Fruits,9210,crops,10 Wheeler Cargo Truck
Corn,12720,crops,10 Wheeler Dump Truck
Corn,7050,crops,Dropside Truck
Meat,7591,perishable goods,Large Refrigerated Truck
Rice,13400,crops,10 Wheeler Dump Truck
Goats,9001,livestock,10 wheeler Livestock Truck
Chickens,1591,livestock,Medium Livestock Truck
Rice,14440,crops,10 Wheeler Dump Truck
Meat,5121,perishable goods,Large Refrigerated Truck
Chickens,1191,livestock,Small Livestock Truck
Vegetables,12650,crops,10 Wheeler Dump Truck
Leafy Greens,6331,perishable goods,Large Refrigerated Truck
Meat,6541,perishable goods,Large Refrigerated Truck
Fruits,5840,crops,Dropside Truck
Fruits,8060,crops,10 Wheeler Cargo Truck
Rice,650,crops,Small Multicab
Rice,1180,crops,Large Multicab
Fruits,10950,crops,10 Wheeler Cargo Truck
Goats,2251,livestock,Medium Livestock Truck
Rice,11810,crops,10 Wheeler Cargo Truck
Fruits,1440,crops,Large Multicab
Chickens,5721,livestock,Large Livestock Truck
Fresh Vegetables,5141,perishable goods,Large Refrigerated Truck
Meat,8721,perishable goods,Large Refrigerated Truck
Chickens,8501,livestock,10 wheeler Livestock Truck
Cows,10561,livestock,10 wheeler Livestock Truck
Cows,1181,livestock,Small Livestock Truck
Eggs,1031,perishable goods,Medium Refrigerated Van
Chickens,6991,livestock,Large Livestock Truck
Vegetables,11560,crops,10 Wheeler Cargo Truck
Fruits,6090,crops,Dropside Truck
Goats,101,livestock,Small Livestock Truck
Eggs,8431,perishable goods,Large Refrigerated Truck
Corn,11970,crops,10 Wheeler Cargo Truck
Rice,2620,crops,Large Pickup Truck
Pigs,11861,livestock,10 wheeler Livestock Truck
Goats,1931,livestock,Medium Livestock Truck
Vegetables,3020,crops,Elf Truck
Cows,11701,livestock,10 wheeler Livestock Truck
Chickens,1121,livestock,Small Livestock Truck
Corn,1760,crops,Elf Truck
Fresh Vegetables,981,perishable goods,Medium Refrigerated Van
Leafy Greens,7901,perishable goods,Large Refrigerated Truck
Chickens,601,livestock,Small Livestock Truck
Frozen Fish,7581,perishable goods,Large Refrigerated Truck
Corn,880,crops,Small Multicab
Goats,8841,livestock,10 wheeler Livestock Truck
Chickens,2861,livestock,Medium Livestock Truck
Cows,6191,livestock,Large Livestock Truck
Vegetables,6900,crops,Dropside Truck
Cows,5731,livestock,Large Livestock Truck
Meat,6221,perishable goods,Large Refrigerated Truck
Frozen Fish,1361,perishable goods,Large Refrigerated Van
Rice,1710,crops,Elf Truck
Leafy Greens,4281,perishable goods,Medium Refrigerated Truck
Eggs,10851,perishable goods,10 wheeler Reefer Truck
Goats,3531,livestock,Large Livestock Truck
Fruits,290,crops,Tricycle
Chickens,10591,livestock,10 wheeler Livestock Truck
Vegetables,1740,crops,Large Delivery Van
Corn,2130,crops,Elf Truck
Corn,4930,crops,Dropside Truck
Leafy Greens,1101,perishable goods,Medium Refrigerated Van
Chickens,6931,livestock,Large Livestock Truck
Corn,3320,crops,Elf Truck
Fruits,7430,crops,Dropside Truck
Vegetables,7700,crops,Dropside Truck
Frozen Fish,11901,perishable goods,10 wheeler Reefer Truck
Frozen Fish,6411,perishable goods,Large Refrigerated Truck
Fresh Vegetables,10631,perishable goods,10 wheeler Reefer Truck
Rice,10290,crops,10 Wheeler Cargo Truck
Vegetables,4530,crops,Dropside Truck
Milk,871,perishable goods,Medium Refrigerated Van
Pigs,8721,livestock,10 wheeler Livestock Truck
Cows,10141,livestock,10 wheeler Livestock Truck
Frozen Fish,8941,perishable goods,Large Refrigerated Truck
Meat,4141,perishable goods,Medium Refrigerated Truck
Pigs,81,livestock,Small Livestock Truck
Milk,5991,perishable goods,Large Refrigerated Truck
Vegetables,12980,crops,10 Wheeler Dump Truck
Meat,9121,perishable goods,10 wheeler Reefer Truck
Corn,8620,crops,10 Wheeler Cargo Truck
Corn,5450,crops,Dropside Truck
Vegetables,2820,crops,Large Pickup Truck
Corn,300,crops,Tricycle
Rice,9670,crops,10 Wheeler Cargo Truck
Fruits,1190,crops,Medium Pickup Truck
Corn,1770,crops,Elf Truck
Meat,4611,perishable goods,Medium Refrigerated Truck
Fruits,3120,crops,Elf Truck
Rice,10310,crops,10 Wheeler Cargo Truck
Fruits,1040,crops,Large Multicab
Rice,5060,crops,Dropside Truck
Goats,741,livestock,Small Livestock Truck
Corn,1650,crops,Large Delivery Van
Chickens,11821,livestock,10 wheeler Livestock Truck
Goats,9251,livestock,10 wheeler Livestock Truck
Goats,4151,livestock,Large Livestock Truck
Corn,890,crops,Small Delivery Van
Fruits,1450,crops,Large Delivery Van
Cows,10181,livestock,10 wheeler Livestock Truck
Rice,13830,crops,10 Wheeler Dump Truck
Corn,1990,crops,Large Delivery Van
Meat,4371,perishable goods,Medium Refrigerated Truck
Cows,10061,livestock,10 wheeler Livestock Truck
Pigs,10451,livestock,10 wheeler Livestock Truck
Vegetables,3240,crops,Elf Truck
Pigs,2231,livestock,Medium Livestock Truck
Chickens,11271,livestock,10 wheeler Livestock Truck
Pigs,9271,livestock,10 wheeler Livestock Truck
Corn,6460,crops,Dropside Truck
Corn,8790,crops,10 Wheeler Cargo Truck
Corn,2020,crops,Large Pickup Truck
Meat,801,perishable goods,Medium Refrigerated Van
Fruits,3190,crops,Elf Truck
Fruits,3800,crops,Heavy Duty Pickup Truck
Cows,4381,livestock,Large Livestock Truck
Corn,8340,crops,Dropside Truck
Corn,7160,crops,Dropside Truck
Leafy Greens,3201,perishable goods,Medium Refrigerated Truck
Cows,1481,livestock,Small Livestock Truck
Goats,1491,livestock,Small Livestock Truck
Milk,7381,perishable goods,Large Refrigerated Truck
Goats,9851,livestock,10 wheeler Livestock Truck
Vegetables,8360,crops,10 Wheeler Cargo Truck
Fruits,780,crops,Small Multicab
Corn,5600,crops,Dropside Truck
Vegetables,600,crops,Small Delivery Van
Chickens,8531,livestock,10 wheeler Livestock Truck
Fruits,12740,crops,10 Wheeler Dump Truck
Corn,6120,crops,Dropside Truck
Fresh Vegetables,5681,perishable goods,Large Refrigerated Truck
Fresh Vegetables,3281,perishable goods,Medium Refrigerated Truck
Goats,221,livestock,Small Livestock Truck
Cows,11401,livestock,10 wheeler Livestock Truck
Goats,791,livestock,Small Livestock Truck
Rice,1700,crops,Elf Truck
Rice,1300,crops,Large Delivery Van
Cows,1811,livestock,Medium Livestock Truck
Fresh Vegetables,7161,perishable goods,Large Refrigerated Truck
Vegetables,11890,crops,10 Wheeler Dump Truck
Frozen Fish,2491,perishable goods,Small Refrigerated Truck
Leafy Greens,4111,perishable goods,Medium Refrigerated Truck
Fruits,14030,crops,10 Wheeler Dump Truck
Chickens,4921,livestock,Large Livestock Truck
Cows,1831,livestock,Medium Livestock Truck
Rice,5800,crops,Dropside Truck
Goats,8591,livestock,10 wheeler Livestock Truck
Cows,10261,livestock,10 wheeler Livestock Truck
Leafy Greens,5031,perishable goods,Large Refrigerated Truck
Vegetables,8220,crops,10 Wheeler Cargo Truck
Corn,8250,crops,10 Wheeler Cargo Truck
Corn,6440,crops,Dropside Truck
Cows,9161,livestock,10 wheeler Livestock Truck
Rice,13090,crops,10 Wheeler Dump Truck
Rice,6030,crops,Dropside Truck
Vegetables,12380,crops,10 Wheeler Dump Truck
Fresh Vegetables,41,perishable goods,Small Refrigerated Van
Rice,4730,crops,Dropside Truck
Fruits,2090,crops,Elf Truck
Cows,10281,livestock,10 wheeler Livestock Truck
Goats,8201,livestock,10 wheeler Livestock Truck
Rice,3380,crops,Elf Truck
Fresh Vegetables,11091,perishable goods,10 wheeler Reefer Truck
Eggs,2161,perishable goods,Small Refrigerated Truck
Cows,9401,livestock,10 wheeler Livestock Truck
Corn,1950,crops,Large Delivery Van
Fruits,2060,crops,Large Pickup Truck
Vegetables,7280,crops,Dropside Truck
Rice,210,crops,Tricycle
Corn,3340,crops,Elf Truck
Rice,10170,crops,10 Wheeler Cargo Truck
Corn,3490,crops,Large Pickup Truck
Pigs,10291,livestock,10 wheeler Livestock Truck
Fruits,410,crops,Small Multicab
Vegetables,1350,crops,Large Delivery Van
Cows,291,livestock,Small Livestock Truck
Milk,51,perishable goods,Small Refrigerated Van
Rice,2800,crops,Elf Truck
Pigs,571,livestock,Small Livestock Truck
Cows,11951,livestock,10 wheeler Livestock Truck
Cows,991,livestock,Small Livestock Truck
Rice,3490,crops,Heavy Duty Pickup Truck
Corn,7810,crops,Dropside Truck
Vegetables,1200,crops,Large Multicab
Vegetables,8720,crops,10 Wheeler Cargo Truck
Vegetables,8330,crops,10 Wheeler Cargo Truck
Cows,2101,livestock,Medium Livestock Truck
Frozen Fish,10191,perishable goods,10 wheeler Reefer Truck
Eggs,9821,perishable goods,10 wheeler Reefer Truck
Chickens,3991,livestock,Large Livestock Truck
Vegetables,11700,crops,10 Wheeler Dump Truck
Rice,13300,crops,10 Wheeler Dump Truck
Fruits,8820,crops,Dropside Truck
Fruits,950,crops,Large Multicab
Corn,4570,crops,Dropside Truck
Meat,11301,perishable goods,10 wheeler Reefer Truck
Fruits,5180,crops,Dropside Truck
Vegetables,8780,crops,Dropside Truck
Frozen Fish,1421,perishable goods,Large Refrigerated Van
Meat,4821,perishable goods,Medium Refrigerated Truck
Rice,7540,crops,Dropside Truck
Leafy Greens,3501,perishable goods,Medium Refrigerated Truck
Goats,10301,livestock,10 wheeler Livestock Truck
Rice,1,crops,Motorcycle with Box
Cows,11561,livestock,10 wheeler Livestock Truck
Rice,8190,crops,10 Wheeler Cargo Truck
Goats,3891,livestock,Large Livestock Truck
Leafy Greens,3841,perishable goods,Medium Refrigerated Truck
Rice,5770,crops,Dropside Truck
Fresh Vegetables,4901,perishable goods,Medium Refrigerated Truck
Rice,11170,crops,10 Wheeler Cargo Truck
Cows,2431,livestock,Medium Livestock Truck
Pigs,9841,livestock,10 wheeler Livestock Truck
Corn,670,crops,Small Multicab
Corn,1250,crops,Large Delivery Van
Vegetables,2530,crops,Elf Truck
Corn,11100,crops,10 Wheeler Cargo Truck
Goats,7641,livestock,10 wheeler Livestock Truck
Frozen Fish,8741,perishable goods,Large Refrigerated Truck
Rice,1920,crops,Large Pickup Truck
Corn,3030,crops,Large Pickup Truck
Vegetables,8890,crops,10 Wheeler Cargo Truck
Chickens,431,livestock,Small Livestock Truck
Chickens,4911,livestock,Large Livestock Truck
Meat,6401,perishable goods,Large Refrigerated Truck
Fruits,9260,crops,10 Wheeler Cargo Truck
Rice,4760,crops,Dropside Truck
Frozen Fish,4811,perishable goods,Medium Refrigerated Truck
Chickens,6781,livestock,Large Livestock Truck
Fruits,540,crops,Small Delivery Van
Pigs,8441,livestock,10 wheeler Livestock Truck
Frozen Fish,6181,perishable goods,Large Refrigerated Truck
Fruits,10530,crops,10 Wheeler Cargo Truck
Fresh Vegetables,1881,perishable goods,Small Refrigerated Truck
Fruits,8280,crops,Dropside Truck
Corn,7500,crops,Dropside Truck
Goats,1711,livestock,Medium Livestock Truck
Milk,9351,perishable goods,10 wheeler Reefer Truck
Eggs,9691,perishable goods,10 wheeler Reefer Truck
Cows,1881,livestock,Medium Livestock Truck
Chickens,7671,livestock,10 wheeler Livestock Truck
Eggs,4001,perishable goods,Medium Refrigerated Truck
Rice,1420,crops,Large Delivery Van
Leafy Greens,1551,perishable goods,Small Refrigerated Truck
Rice,1380,crops,Medium Pickup Truck
Cows,7001,livestock,10 wheeler Livestock Truck
Meat,3351,perishable goods,Medium Refrigerated Truck
Vegetables,8800,crops,Dropside Truck
Corn,1310,crops,Large Multicab
Corn,1180,crops,Small Pickup Truck
Cows,1851,livestock,Medium Livestock Truck
Cows,1461,livestock,Small Livestock Truck
Eggs,7681,perishable goods,Large Refrigerated Truck
Frozen Fish,3691,perishable goods,Medium Refrigerated Truck
Chickens,8801,livestock,10 wheeler Livestock Truck
Fresh Vegetables,10611,perishable goods,10 wheeler Reefer Truck
Frozen Fish,8771,perishable goods,Large Refrigerated Truck
Frozen Fish,901,perishable goods,Medium Refrigerated Van
Eggs,5961,perishable goods,Large Refrigerated Truck
Pigs,951,livestock,Small Livestock Truck
Vegetables,7110,crops,Dropside Truck
Fruits,4910,crops,Dropside Truck
Pigs,10051,livestock,10 wheeler Livestock Truck
Fresh Vegetables,11571,perishable goods,10 wheeler Reefer Truck
Chickens,9421,livestock,10 wheeler Livestock Truck
Leafy Greens,7061,perishable goods,Large Refrigerated Truck
Eggs,10791,perishable goods,10 wheeler Reefer Truck
Eggs,3781,perishable goods,Medium Refrigerated Truck
Eggs,2421,perishable goods,Small Refrigerated Truck
Fruits,14760,crops,10 Wheeler Dump Truck
Goats,7981,livestock,10 wheeler Livestock Truck
Meat,11791,perishable goods,10 wheeler Reefer Truck
Frozen Fish,4951,perishable goods,Medium Refrigerated Truck
Rice,8660,crops,10 Wheeler Cargo Truck
Rice,2330,crops,Large Pickup Truck
Pigs,9821,livestock,10 wheeler Livestock Truck
Goats,9011,livestock,10 wheeler Livestock Truck
Meat,5171,perishable goods,Large Refrigerated Truck
Rice,1370,crops,Large Multicab
Fruits,10260,crops,10 Wheeler Cargo Truck
Pigs,2001,livestock,Medium Livestock Truck
Cows,7791,livestock,10 wheeler Livestock Truck
Milk,2731,perishable goods,Small Refrigerated Truck
Eggs,101,perishable goods,Small Refrigerated Van
Eggs,8601,perishable goods,Large Refrigerated Truck
Vegetables,13700,crops,10 Wheeler Dump Truck
Pigs,4881,livestock,Large Livestock Truck
Goats,151,livestock,Small Livestock Truck
Cows,6101,livestock,Large Livestock Truck
Eggs,6971,perishable goods,Large Refrigerated Truck
Rice,13800,crops,10 Wheeler Dump Truck
Corn,2750,crops,Elf Truck
Pigs,6431,livestock,Large Livestock Truck
Eggs,4941,perishable goods,Medium Refrigerated Truck
Goats,2601,livestock,Medium Livestock Truck
Fruits,11490,crops,10 Wheeler Dump Truck
Eggs,451,perishable goods,Small Refrigerated Van
Goats,3261,livestock,Large Livestock Truck
Chickens,9861,livestock,10 wheeler Livestock Truck
Fresh Vegetables,10511,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,2801,perishable goods,Small Refrigerated Truck
Vegetables,380,crops,Tricycle
Vegetables,8570,crops,Dropside Truck
Rice,7510,crops,Dropside Truck
Rice,5680,crops,Dropside Truck
Goats,7431,livestock,10 wheeler Livestock Truck
Rice,10900,crops,10 Wheeler Cargo Truck
Rice,10250,crops,10 Wheeler Cargo Truck
Rice,1040,crops,Small Pickup Truck
Chickens,3611,livestock,Large Livestock Truck
Rice,1750,crops,Large Delivery Van
Vegetables,10220,crops,10 Wheeler Cargo Truck
Fresh Vegetables,4911,perishable goods,Medium Refrigerated Truck
Corn,1400,crops,Medium Pickup Truck
Eggs,4271,perishable goods,Medium Refrigerated Truck
Fruits,8770,crops,Dropside Truck
Corn,12230,crops,10 Wheeler Dump Truck
Pigs,6231,livestock,Large Livestock Truck
Frozen Fish,3901,perishable goods,Medium Refrigerated Truck
Cows,3071,livestock,Large Livestock Truck
Fresh Vegetables,3941,perishable goods,Medium Refrigerated Truck
Frozen Fish,9211,perishable goods,10 wheeler Reefer Truck
Chickens,7731,livestock,10 wheeler Livestock Truck
Cows,591,livestock,Small Livestock Truck
Vegetables,2190,crops,Elf Truck
Vegetables,6320,crops,Dropside Truck
Corn,7520,crops,Dropside Truck
Corn,11230,crops,10 Wheeler Dump Truck
Leafy Greens,4051,perishable goods,Medium Refrigerated Truck
Fruits,720,crops,Small Pickup Truck
Chickens,3801,livestock,Large Livestock Truck
Eggs,7101,perishable goods,Large Refrigerated Truck
Eggs,11151,perishable goods,10 wheeler Reefer Truck
Leafy Greens,2721,perishable goods,Small Refrigerated Truck
Vegetables,11050,crops,10 Wheeler Cargo Truck
Pigs,2681,livestock,Medium Livestock Truck
Goats,8951,livestock,10 wheeler Livestock Truck
Rice,14610,crops,10 Wheeler Dump Truck
Rice,12000,crops,10 Wheeler Dump Truck
Pigs,1841,livestock,Medium Livestock Truck
Eggs,9551,perishable goods,10 wheeler Reefer Truck
Corn,2430,crops,Elf Truck
Fruits,1360,crops,Medium Pickup Truck
Fruits,13960,crops,10 Wheeler Dump Truck
Chickens,6411,livestock,Large Livestock Truck
Vegetables,8850,crops,Dropside Truck
Frozen Fish,10691,perishable goods,10 wheeler Reefer Truck
Milk,9431,perishable goods,10 wheeler Reefer Truck
Vegetables,4440,crops,Heavy Duty Pickup Truck
Cows,5961,livestock,Large Livestock Truck
Cows,2721,livestock,Medium Livestock Truck
Vegetables,13760,crops,10 Wheeler Dump Truck
Leafy Greens,3101,perishable goods,Medium Refrigerated Truck
Vegetables,2010,crops,Large Pickup Truck
Vegetables,10890,crops,10 Wheeler Cargo Truck
Rice,3230,crops,Elf Truck
Pigs,7141,livestock,10 wheeler Livestock Truck
Cows,121,livestock,Small Livestock Truck
Pigs,7221,livestock,10 wheeler Livestock Truck
Cows,9621,livestock,10 wheeler Livestock Truck
Vegetables,7640,crops,Dropside Truck
Rice,12010,crops,10 Wheeler Dump Truck
Rice,2220,crops,Elf Truck
Fresh Vegetables,751,perishable goods,Small Refrigerated Van
Fresh Vegetables,10031,perishable goods,10 wheeler Reefer Truck
Vegetables,2930,crops,Elf Truck
Eggs,11491,perishable goods,10 wheeler Reefer Truck
Pigs,5151,livestock,Large Livestock Truck
Fruits,2430,crops,Large Pickup Truck
Meat,1891,perishable goods,Small Refrigerated Truck
Cows,11711,livestock,10 wheeler Livestock Truck
Milk,4531,perishable goods,Medium Refrigerated Truck
Fresh Vegetables,6141,perishable goods,Large Refrigerated Truck
Rice,11580,crops,10 Wheeler Dump Truck
Eggs,131,perishable goods,Small Refrigerated Van
Milk,7621,perishable goods,Large Refrigerated Truck
Chickens,4931,livestock,Large Livestock Truck
Fruits,6430,crops,Dropside Truck
Vegetables,8900,crops,Dropside Truck
Frozen Fish,3381,perishable goods,Medium Refrigerated Truck
Rice,2690,crops,Large Pickup Truck
Rice,11080,crops,10 Wheeler Cargo Truck
Fruits,940,crops,Small Pickup Truck
Vegetables,11730,crops,10 Wheeler Dump Truck
Pigs,6351,livestock,Large Livestock Truck
Fresh Vegetables,2261,perishable goods,Small Refrigerated Truck
Fruits,12410,crops,10 Wheeler Dump Truck
Fruits,1220,crops,Large Multicab
Fresh Vegetables,4431,perishable goods,Medium Refrigerated Truck
Chickens,11361,livestock,10 wheeler Livestock Truck
Chickens,10091,livestock,10 wheeler Livestock Truck
Eggs,2781,perishable goods,Small Refrigerated Truck
Fruits,2290,crops,Large Pickup Truck
Vegetables,6100,crops,Dropside Truck
Corn,6130,crops,Dropside Truck
Fresh Vegetables,7491,perishable goods,Large Refrigerated Truck
Cows,11611,livestock,10 wheeler Livestock Truck
Fruits,7750,crops,Dropside Truck
Fruits,4650,crops,Dropside Truck
Fruits,780,crops,Small Pickup Truck
Meat,11821,perishable goods,10 wheeler Reefer Truck
Rice,14300,crops,10 Wheeler Dump Truck
Corn,680,crops,Small Multicab
Rice,1790,crops,Large Delivery Van
Corn,3560,crops,Heavy Duty Pickup Truck
Leafy Greens,2151,perishable goods,Small Refrigerated Truck
Fresh Vegetables,1711,perishable goods,Small Refrigerated Truck
Vegetables,5830,crops,Dropside Truck
Vegetables,13550,crops,10 Wheeler Dump Truck
Leafy Greens,241,perishable goods,Small Refrigerated Van
Corn,13890,crops,10 Wheeler Dump Truck
Vegetables,8390,crops,Dropside Truck
Goats,1661,livestock,Medium Livestock Truck
Rice,5870,crops,Dropside Truck
Eggs,11161,perishable goods,10 wheeler Reefer Truck
Cows,7871,livestock,10 wheeler Livestock Truck
Meat,5511,perishable goods,Large Refrigerated Truck
Chickens,5561,livestock,Large Livestock Truck
Meat,8571,perishable goods,Large Refrigerated Truck
Goats,3571,livestock,Large Livestock Truck
Goats,4731,livestock,Large Livestock Truck
Frozen Fish,11561,perishable goods,10 wheeler Reefer Truck
Meat,11281,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,3111,perishable goods,Medium Refrigerated Truck
Rice,7630,crops,Dropside Truck
Corn,7850,crops,Dropside Truck
Chickens,5201,livestock,Large Livestock Truck
Frozen Fish,8141,perishable goods,Large Refrigerated Truck
Rice,2480,crops,Large Pickup Truck
Rice,11780,crops,10 Wheeler Cargo Truck
Vegetables,3390,crops,Large Pickup Truck
Cows,8491,livestock,10 wheeler Livestock Truck
Fruits,13190,crops,10 Wheeler Dump Truck
Rice,1610,crops,Large Delivery Van
Fruits,7820,crops,Dropside Truck
Rice,5270,crops,Dropside Truck
Vegetables,80,crops,Tricycle
Rice,11910,crops,10 Wheeler Cargo Truck
Eggs,8421,perishable goods,Large Refrigerated Truck
Fresh Vegetables,6301,perishable goods,Large Refrigerated Truck
Eggs,11171,perishable goods,10 wheeler Reefer Truck
Frozen Fish,9251,perishable goods,10 wheeler Reefer Truck
Chickens,9211,livestock,10 wheeler Livestock Truck
Corn,1410,crops,Large Multicab
Corn,4430,crops,Dropside Truck
Rice,10590,crops,10 Wheeler Cargo Truck
Fresh Vegetables,9791,perishable goods,10 wheeler Reefer Truck
Vegetables,11350,crops,10 Wheeler Cargo Truck
Eggs,10821,perishable goods,10 wheeler Reefer Truck
Corn,5950,crops,Dropside Truck
Fruits,1320,crops,Large Delivery Van
Corn,13480,crops,10 Wheeler Dump Truck
Rice,5720,crops,Dropside Truck
Cows,10861,livestock,10 wheeler Livestock Truck
Meat,491,perishable goods,Small Refrigerated Van
Milk,8851,perishable goods,Large Refrigerated Truck
Vegetables,2020,crops,Elf Truck
Fruits,8860,crops,Dropside Truck
Cows,8741,livestock,10 wheeler Livestock Truck
Meat,3751,perishable goods,Medium Refrigerated Truck
Corn,2680,crops,Elf Truck
Vegetables,8120,crops,Dropside Truck
Fruits,940,crops,Large Multicab
Corn,3170,crops,Elf Truck
Meat,6281,perishable goods,Large Refrigerated Truck
Goats,9901,livestock,10 wheeler Livestock Truck
Milk,7611,perishable goods,Large Refrigerated Truck
Fruits,2570,crops,Elf Truck
Goats,2981,livestock,Medium Livestock Truck
Fruits,6010,crops,Dropside Truck
Fresh Vegetables,1001,perishable goods,Medium Refrigerated Van
Rice,2120,crops,Large Pickup Truck
Corn,1340,crops,Large Delivery Van
Leafy Greens,5881,perishable goods,Large Refrigerated Truck
Pigs,5291,livestock,Large Livestock Truck
Milk,10231,perishable goods,10 wheeler Reefer Truck
Leafy Greens,521,perishable goods,Small Refrigerated Van
Meat,621,perishable goods,Small Refrigerated Van
Leafy Greens,6521,perishable goods,Large Refrigerated Truck
Fruits,10820,crops,10 Wheeler Cargo Truck
Leafy Greens,5191,perishable goods,Large Refrigerated Truck
Eggs,10301,perishable goods,10 wheeler Reefer Truck
Eggs,3491,perishable goods,Medium Refrigerated Truck
Fruits,5150,crops,Dropside Truck
Pigs,9921,livestock,10 wheeler Livestock Truck
Leafy Greens,8451,perishable goods,Large Refrigerated Truck
Frozen Fish,8091,perishable goods,Large Refrigerated Truck
Corn,2390,crops,Large Pickup Truck
Fruits,2700,crops,Large Pickup Truck
Fruits,14830,crops,10 Wheeler Dump Truck
Vegetables,11330,crops,10 Wheeler Dump Truck
Rice,6270,crops,Dropside Truck
Corn,11480,crops,10 Wheeler Cargo Truck
Corn,8370,crops,10 Wheeler Cargo Truck
Pigs,3121,livestock,Large Livestock Truck
Corn,9350,crops,10 Wheeler Cargo Truck
Milk,8751,perishable goods,Large Refrigerated Truck
Corn,2550,crops,Elf Truck
Eggs,561,perishable goods,Small Refrigerated Van
Fruits,1410,crops,Medium Pickup Truck
Corn,1960,crops,Large Pickup Truck
Milk,8511,perishable goods,Large Refrigerated Truck
Cows,3091,livestock,Large Livestock Truck
Cows,9911,livestock,10 wheeler Livestock Truck
Corn,970,crops,Small Multicab
Corn,12860,crops,10 Wheeler Dump Truck
Cows,2311,livestock,Medium Livestock Truck
Frozen Fish,6631,perishable goods,Large Refrigerated Truck
Rice,3050,crops,Large Pickup Truck
Fruits,14850,crops,10 Wheeler Dump Truck
Leafy Greens,391,perishable goods,Small Refrigerated Van
Rice,5260,crops,Dropside Truck
Pigs,7291,livestock,10 wheeler Livestock Truck
Frozen Fish,3561,perishable goods,Medium Refrigerated Truck
Fruits,6170,crops,Dropside Truck
Fresh Vegetables,10151,perishable goods,10 wheeler Reefer Truck
Corn,3130,crops,Large Pickup Truck
Vegetables,8110,crops,10 Wheeler Cargo Truck
Pigs,7941,livestock,10 wheeler Livestock Truck
Vegetables,1580,crops,Large Delivery Van
Fresh Vegetables,9271,perishable goods,10 wheeler Reefer Truck
Fruits,3500,crops,Heavy Duty Pickup Truck
Corn,5370,crops,Dropside Truck
Vegetables,11110,crops,10 Wheeler Cargo Truck
Rice,11660,crops,10 Wheeler Dump Truck
Fruits,140,crops,Tricycle
Fruits,2140,crops,Large Pickup Truck
Milk,6641,perishable goods,Large Refrigerated Truck
Milk,4341,perishable goods,Medium Refrigerated Truck
Frozen Fish,4161,perishable goods,Medium Refrigerated Truck
Chickens,4871,livestock,Large Livestock Truck
Fresh Vegetables,2541,perishable goods,Small Refrigerated Truck
Vegetables,9550,crops,10 Wheeler Cargo Truck
Chickens,7711,livestock,10 wheeler Livestock Truck
Meat,2311,perishable goods,Small Refrigerated Truck
Chickens,9331,livestock,10 wheeler Livestock Truck
Leafy Greens,4191,perishable goods,Medium Refrigerated Truck
Leafy Greens,11051,perishable goods,10 wheeler Reefer Truck
Chickens,7521,livestock,10 wheeler Livestock Truck
Corn,14700,crops,10 Wheeler Dump Truck
Corn,670,crops,Small Delivery Van
Vegetables,2780,crops,Large Pickup Truck
Frozen Fish,3051,perishable goods,Medium Refrigerated Truck
Cows,5111,livestock,Large Livestock Truck
Milk,5541,perishable goods,Large Refrigerated Truck
Fresh Vegetables,8951,perishable goods,Large Refrigerated Truck
Vegetables,11580,crops,10 Wheeler Cargo Truck
Pigs,4541,livestock,Large Livestock Truck
Rice,10720,crops,10 Wheeler Cargo Truck
Vegetables,4850,crops,Dropside Truck
Cows,9751,livestock,10 wheeler Livestock Truck
Fruits,13440,crops,10 Wheeler Dump Truck
Corn,8300,crops,10 Wheeler Cargo Truck
Vegetables,2370,crops,Large Pickup Truck
Rice,9170,crops,10 Wheeler Cargo Truck
Goats,1961,livestock,Medium Livestock Truck
Fruits,1270,crops,Large Delivery Van
Cows,8381,livestock,10 wheeler Livestock Truck
Leafy Greens,11211,perishable goods,10 wheeler Reefer Truck
Corn,600,crops,Small Multicab
Leafy Greens,1941,perishable goods,Small Refrigerated Truck
Fresh Vegetables,6841,perishable goods,Large Refrigerated Truck
Cows,4471,livestock,Large Livestock Truck
